ID	Upstream event	Relationship type	Downstream event
636	Increased, serotonin (5-HT) 1	leads to	Increase, cilia movement
637	Increase, cilia movement	leads to	Increased, locomotion
638	Increased, locomotion	leads to	Increase, predation
639	Increase, cilia movement	leads to	Increased, foot detachment
640	Increased, serotonin (5-HT) 1	leads to	Increased, muscular waves in foot
641	Increased, muscular waves in foot	leads to	Increased, locomotion
642	Increased, muscular waves in foot	leads to	Increased, foot detachment
643	"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT)"	leads to	Increased, serotonin (5-HT) 
644	Increased, serotonin (5-HT) 	leads to	Decreased, anxiety
645	Decreased, anxiety	leads to	Decreased, sheltering
646	Decreased, sheltering	leads to	Increased, predation
647	N/A, Neurodegeneration	leads to	Decreased, Neuronal network function in adult brain
649	Decrease, histaminergic neuron excitation	leads to	N/A, sedation
650	N/A, sedation	leads to	Decreased, locomotion
651	Decreased, locomotion	leads to	Increased, predation
654	Increased, predation	leads to	Decreased, survival
656	Synaptogenesis, Decreased 	leads to	N/A, Neuroinflammation
658	Activation, Nicotinic acetylcholine receptor	leads to	Desensitization, Nicotinic acetylcholine receptor
659	Desensitization, Nicotinic acetylcholine receptor	leads to	Neuronal network function, Decreased
660	N/A, Mitochondrial dysfunction 1	leads to	Overwhelmed, Mitochondrial DNA repair mechanisms
661	Overwhelmed, Mitochondrial DNA repair mechanisms	leads to	Accumulation, Damaged mitochondrial DNA
662	Accumulation, Damaged mitochondrial DNA	leads to	Accelerated, Aging
663	Accelerated, Aging	leads to	Decrease, Number of worker bees
664	N/A, Mitochondrial dysfunction 1	leads to	impaired, Thoracic shivering
665	impaired, Thoracic shivering	leads to	impaired, Hive thermoregulation
666	Binding at picrotoxin site, iGABAR chloride channel	leads to	Reduction, Ionotropic GABA receptor chloride channel conductance
667	Reduction, Ionotropic GABA receptor chloride channel conductance	leads to	Reduction, Neuronal synaptic inhibition
670	Inhibition, Cyclooxygenase activity	leads to	Reduced, Prostaglandin F2alpha synthesis, ovary 
671	Reduced, Prostaglandin F2alpha synthesis, ovary 	leads to	Reduced, Prostaglandin F2alpha concentration, plasma 
672	Reduced, Prostaglandin F2alpha concentration, plasma 	leads to	Reduced, Spawning behavior
673	Reduced, Spawning behavior	leads to	Reduced, Ability to attract spawning mates
674	Reduced, Ability to attract spawning mates	leads to	Reduced, Reproductive Success
675	Reduced, Reproductive Success	leads to	Decrease, Population trajectory
678	Reduced, Prostaglandin F2alpha concentration, plasma 	leads to	Reduced, Pheromone release
679	Reduced, Pheromone release	leads to	Reduced, Ability to attract spawning mates
680	Reduced, Reproductive Success	leads to	Decline, Population trajectory
681	Inhibition, Cyclooxygenase activity	leads to	Decreased, Prostaglandin F2alpha synthesis, ovary 
682	Decreased, Prostaglandin F2alpha synthesis, ovary 	leads to	Reduced, Prostaglandin F2alpha concentration, plasma 
683	Reduction, Neuronal synaptic inhibition	leads to	Generation, Amplified excitatory postsynaptic potential (EPSP)
684	Generation, Amplified excitatory postsynaptic potential (EPSP)	leads to	Occurrence, A paroxysmal depolarizing shift
685	Reduced, Prostaglandins, ovary	leads to	Decrease, Ovulation
686	Inhibition, Cyclooxygenase activity	leads to	Reduced, Prostaglandins, ovary
687	Decrease, Ovulation	leads to	Reduced, Reproductive Success
688	Reduced, Reproductive Success	leads to	Declining, Population trajectory
689	Inhibition, Cyclooxygenase activity	leads to	Reduced, Prostaglandin E2 concentration, hypothalamus
690	Reduced, Prostaglandin E2 concentration, hypothalamus	leads to	Reduced, Gonadotropin releasing hormone, hypothalamus
691	Reduced, Gonadotropin releasing hormone, hypothalamus	leads to	Reduced, Luteinizing hormone (LH), plasma 
692	Reduced, Luteinizing hormone (LH), plasma 	leads to	Reduced, Maturation inducing steroid, plasma
693	Reduced, Maturation inducing steroid, plasma	leads to	Reduced, Maturation inducing steroid receptor signalling, oocyte
694	Reduced, Maturation inducing steroid receptor signalling, oocyte	leads to	Increased, cyclic adenosine monophosphate
695	Increased, cyclic adenosine monophosphate	leads to	Reduced, Reproductive Success
696	Increased, cyclic adenosine monophosphate	leads to	Reduced, Meiotic prophase I/metaphase I transition, oocyte
697	Reduced, Meiotic prophase I/metaphase I transition, oocyte	leads to	Reduced, Reproductive Success
698	Reduced, Maturation inducing steroid receptor signalling, oocyte	leads to	Upregulated, Spindle assembly checkpoint protein Mad2-oocyte
699	Upregulated, Spindle assembly checkpoint protein Mad2-oocyte	leads to	Increased, Chromosome misseggregation
700	Increased, Chromosome misseggregation	leads to	Reduced, Reproductive Success
701	impaired, ion channels	leads to	Altered, Action Potential
702	Altered, Action Potential	leads to	Increased, cardiac arrthymia
703	Increased, cardiac arrthymia	leads to	Increased, Mortality
706	Increased, Binding of chemicals to 2u (serum)	leads to	Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)
707	Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)	leads to	Increase, Cytotoxicity (renal tubular cell)
708	Increase, Cytotoxicity (renal tubular cell)	leads to	Increase, Regenerative cell proliferation (tubular epithelial cells)
711	Activation, Constitutive androstane receptor	leads to	Increase, Mitogenic cell proliferation (hepatocytes)
714	Binding, Tubulin	leads to	Depolymerization, Microtubule
715	Depolymerization, Microtubule	leads to	Disorganization, Spindle
716	Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme	leads to	Increased, Induction of pyruvate dehydrogenase (PDH)
723	Altered, Chromosome number	leads to	Increase, Aneuploid offspring
724	Binding, Tubulin	leads to	Altered, Chromosome number
726	Increase, Necrosis (terminal bronchiolar cells)	leads to	Increase, Regenerative cell proliferation (terminal bronchiolar epithelial cells)
727	Increase, Regenerative cell proliferation (terminal bronchiolar epithelial cells)	leads to	Increase, Hyperplasia (terminal bronchiolar cells)
728	Increase, Hyperplasia (terminal bronchiolar cells)	leads to	Increase, Adenomas/carcinomas (bronchioloalveolar)
729	Decreased, Androgen receptor activity	leads to	Decreased, Testosterone binding to androgen receptor (hypothalamus)
730	Decreased, Testosterone binding to androgen receptor (hypothalamus)	leads to	Increase, Hyperplasia (Leydig cells)
731	Increase, Hyperplasia (Leydig cells)	leads to	Increase, Leydig cell tumors
732	Increase, Dopaminergic activity	leads to	Decreased, Prolactin
733	Decreased, Prolactin	leads to	Increased, Estrogen receptor (ER) activity
734	Increased, Estrogen receptor (ER) activity	leads to	Decreased, Progesterone from corpus luteum
737	Disorganization, Spindle	leads to	Altered, Meiotic chromosome dynamics
738	Altered, Meiotic chromosome dynamics	leads to	Altered, Chromosome number
741	Increase, Thyroid-stimulating hormone (TSH)	leads to	Increase, Hypertrophy and proliferation (follicular cell)
742	Increase, Hypertrophy and proliferation (follicular cell)	leads to	Increase, Hyperplasia (follicular cells)
743	Increase, Hyperplasia (follicular cells)	leads to	Increase, Adenomas/carcinomas (follicular cell)
744	Decreased, Testosterone binding to androgen receptor (hypothalamus)	leads to	Increased, Luteinizing hormone (LH) 
745	Increased, Luteinizing hormone (LH) 	leads to	Increase, Hyperplasia (Leydig cells)
746	T4 in neuronal tissue, Decreased	leads to	Hippocampal gene expression, Altered 
747	Hippocampal gene expression, Altered 	leads to	Hippocampal anatomy, Altered 
748	Hippocampal Physiology, Altered	leads to	Cognitive Function, Decreased 
749	Hippocampal anatomy, Altered 	leads to	Hippocampal Physiology, Altered
750	Activation, 5HT2c	leads to	N/A, Unknown
751	N/A, Unknown	leads to	Increased, Kidney Failure
752	Activation, Glutamate-gated chloride channel	leads to	Increased, Chloride conductance
755	hyperpolarisation, neuron	leads to	N/A, Ataxia, paralysis, or hyperactivity
756	Increased, Mortality	leads to	Decreased, population 1
757	N/A, Ataxia, paralysis, or hyperactivity	leads to	Increased, Mortality
758	Increased, Chloride conductance	leads to	hyperpolarisation, neuron
759	N/A, Neuroinflammation	leads to	Synaptogenesis, Decreased 
760	Increase, Regenerative cell proliferation (tubular epithelial cells)	leads to	Increase, Hyperplasia (renal tubular cells)
761	Increase, Hyperplasia (renal tubular cells)	leads to	Increase, Adenomas/carcinomas (renal tubular)
762	Increased, Induction of pyruvate dehydrogenase (PDH)	leads to	Increase, Oxidative metabolism
763	Increase, Oxidative metabolism	leads to	Peptide Oxidation
764	Peptide Oxidation	leads to	Increase, Adenomas/carcinomas (hepatocellular)
765	Peptide Oxidation	leads to	Increase, Cytotoxicity
766	Increase, Cytotoxicity	leads to	Increase, Adenomas/carcinomas (hepatocellular)
767	Increase, Cytotoxicity (club cells)	leads to	Increase, Necrosis (terminal bronchiolar cells)
768	Decreased, Uptake of inorganic iodide	leads to	Decrease, Serum thyroid hormone (T4/T3)
769	Decrease, Serum thyroid hormone (T4/T3)	leads to	Increase, Thyroid-stimulating hormone (TSH)
770	Increase, Dopaminergic activity	leads to	Increase, Endometrial adenocarcinomas
771	Increase, Hyperplasia (glandular epithelial cells of endometrium)	leads to	Increase, Endometrial adenocarcinomas
772	Decreased, Progesterone from corpus luteum	leads to	Increase, Hyperplasia (glandular epithelial cells of endometrium)
773	Increase, Mitogenic cell proliferation (hepatocytes)	leads to	Increase, Preneoplastic foci (hepatocytes)
774	Increase, Preneoplastic foci (hepatocytes)	leads to	Increase, Adenomas/carcinomas (hepatocellular)
775	Inhibition, 4-hydroxyphenyl-pyruvate dioxygenase (HPPD) enzyme	leads to	Increased, Plasma tyrosine
776	Increased, Plasma tyrosine	leads to	Increase, Cytotoxicity (corneal cells)
777	Increase, Cytotoxicity (corneal cells)	leads to	Increase, Inflammation (corneal cells)
778	Increase, Inflammation (corneal cells)	leads to	Increase, Regenerative cell proliferation (corneal cells)
779	Increase, Regenerative cell proliferation (corneal cells)	leads to	Increase, Papillomas/carcinomas (squamous cells)
780	Increase, Cytotoxicity (epithelial cells)	leads to	Increase, Inflammation
781	Increase, Inflammation	leads to	Increase, Regenerative cell proliferation (forestomach epithelial cells)
782	Increase, Regenerative cell proliferation (forestomach epithelial cells)	leads to	Increase, Hyperplasia (forestomach epithelial cells)
783	Increase, Hyperplasia (forestomach epithelial cells)	leads to	Increase, Papillomas/carcinomas (squamous cells)
784	Increase, Cytotoxicity (tubular epithelial cells)	leads to	Increase, Regenerative cell proliferation (tubular epithelial cells)
785	Increase, Regenerative cell proliferation (tubular epithelial cells)	leads to	Increase, Hyperplasia (tubular epithelial cells)
786	Increase, Hyperplasia (tubular epithelial cells)	leads to	Increase, Adenomas/carcinomas (renal tubular)
787	Activation, Androgen receptor	leads to	Increase, Mitogenic cell proliferation (hepatocytes)
788	Increase, Cytotoxicity (hepatocytes)	leads to	Increase, Regenerative cell proliferation (hepatocytes)
789	Increase, Regenerative cell proliferation (hepatocytes)	leads to	Increase, Preneoplastic foci (hepatocytes)
790	Thyroperoxidase, Inhibition	leads to	Decrease, Incorporation of active iodide into iodotyrosines
791	Decrease, Incorporation of active iodide into iodotyrosines	leads to	Decrease, Serum thyroid hormone (T4/T3)
792	Inhibition, 5_-reductase activity	leads to	Decrease, Bioactivation of testosterone
793	Decrease, Bioactivation of testosterone	leads to	Increased, Leutinizing hormone (LH)
794	Increased, Leutinizing hormone (LH)	leads to	Increase, Hyperplasia (Leydig cells)
795	Increase, Urinary bladder calculi	leads to	Increase, Cytotoxicity (urothelial cells)
796	Increase, Cytotoxicity (urothelial cells)	leads to	Increase, Regenerative cell proliferation (urothelial cells)
797	Increase, Regenerative cell proliferation (urothelial cells)	leads to	Increase, Hyperplasia (urothelial)
798	Increase, Hyperplasia (urothelial)	leads to	Increase, Adenomas/carcinomas (urothelial)
799	Inhibition, Prolyl hydroxylases	leads to	Increased, HIF-1 heterodimer
800	Increased, HIF-1 heterodimer	leads to	Decreased, Aromatase (Cyp19a1) mRNA
801	Decreased, Aromatase (Cyp19a1) mRNA	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
802	modulation, Unknown	leads to	Increased, HIF-1 alpha transcription
803	Increased, HIF-1 alpha transcription	leads to	Increased, HIF-1 heterodimer
804	Inhibition, HMG-CoA reductase	leads to	Decreased, mevalonate
805	Decreased, mevalonate	leads to	Decreased, cholesterol
806	Decreased, cholesterol	leads to	Decreased, Testosterone
807	Decreased, Testosterone	leads to	malformed, Male reproductive tract
808	malformed, Male reproductive tract	leads to	Decrease, Fertility
809	TH synthesis, Decreased	leads to	Decreased, Thyroxine (T4) in serum
810	TH synthesis, Decreased	leads to	Increased, Serum creatinine
811	Decreased, Thyroxine (T4) in serum	leads to	Occurrence, Cytoplasmic vacuolization (Renal tubule)
812	Decreased, Thyroxine (T4) in serum	leads to	Occurrence, Cystic dilatation (renal tubule)
813	Increased, Serum creatinine	leads to	Occurrence, Cytoplasmic vacuolization (Renal tubule)
814	Increased, Serum creatinine	leads to	Occurrence, Cystic dilatation (renal tubule)
815	Decreased, Thyroxine (T4) in serum	leads to	Occurrence, Cytoplasmic vacuolization (podocyte)
816	Increased, Serum creatinine	leads to	Occurrence, Cytoplasmic vacuolization (podocyte)
817	Occurrence, Cytoplasmic vacuolization (Renal tubule)	leads to	Decreased, Glomerular filtration
818	Occurrence, Cytoplasmic vacuolization (Renal tubule)	leads to	Decreased, Renal plasma flow
819	Occurrence, Cytoplasmic vacuolization (Renal tubule)	leads to	Decreased, Sodium reabsorption
820	Occurrence, Cytoplasmic vacuolization (Renal tubule)	leads to	Decreased, Renal ability to dilute urine
821	Occurrence, Cystic dilatation (renal tubule)	leads to	Decreased, Glomerular filtration
822	Occurrence, Cystic dilatation (renal tubule)	leads to	Decreased, Renal plasma flow
823	Occurrence, Cystic dilatation (renal tubule)	leads to	Decreased, Sodium reabsorption
824	Occurrence, Cystic dilatation (renal tubule)	leads to	Decreased, Renal ability to dilute urine
825	Occurrence, Cytoplasmic vacuolization (podocyte)	leads to	Decreased, Glomerular filtration
826	Occurrence, Cytoplasmic vacuolization (podocyte)	leads to	Decreased, Renal plasma flow
827	Occurrence, Cytoplasmic vacuolization (podocyte)	leads to	Decreased, Sodium reabsorption
828	Occurrence, Cytoplasmic vacuolization (podocyte)	leads to	Decreased, Renal ability to dilute urine
829	Decreased, Glomerular filtration	leads to	Occurrence, Kidney toxicity
830	Decreased, Renal plasma flow	leads to	Occurrence, Kidney toxicity
831	Decreased, Sodium reabsorption	leads to	Occurrence, Kidney toxicity
832	Decreased, Renal ability to dilute urine	leads to	Occurrence, Kidney toxicity
833	Covalent Binding, Protein	leads to	Activation, Keratinocytes
834	Activation, Keratinocytes	leads to	Activation, Dendritic Cells
835	Activation/Proliferation, T-cells	leads to	sensitisation, skin
836	Inhibition, Phospholipase A	leads to	Damage, Lipid bilayer
837	Inhibition, Phospholipase A	leads to	Disturbance, Lysosomal function
838	Inhibition, Phospholipase A	leads to	Injury, Mitochondria
839	Damage, Lipid bilayer	leads to	Occurrence, Cytoplasmic vacuolization (hepatocyte)
840	Damage, Lipid bilayer	leads to	Occurrence, Ballooning degeneration (hepatocyte)
841	Damage, Lipid bilayer	leads to	Occurrence, Cytoplasmic vacuolization (Bile duct cell)
842	Damage, Lipid bilayer	leads to	Occurrence, Cytoplasmic vacuolization (kupffer cell)
843	Disturbance, Lysosomal function	leads to	Occurrence, Cytoplasmic vacuolization (hepatocyte)
844	Disturbance, Lysosomal function	leads to	Occurrence, Ballooning degeneration (hepatocyte)
845	Disturbance, Lysosomal function	leads to	Occurrence, Cytoplasmic vacuolization (Bile duct cell)
846	Disturbance, Lysosomal function	leads to	Occurrence, Cytoplasmic vacuolization (kupffer cell)
847	Injury, Mitochondria	leads to	Occurrence, Cytoplasmic vacuolization (hepatocyte)
848	Injury, Mitochondria	leads to	Occurrence, Ballooning degeneration (hepatocyte)
849	Injury, Mitochondria	leads to	Occurrence, Cytoplasmic vacuolization (Bile duct cell)
850	Injury, Mitochondria	leads to	Occurrence, Cytoplasmic vacuolization (kupffer cell)
851	Occurrence, Cytoplasmic vacuolization (hepatocyte)	leads to	Induction, Microvesicular fat
852	Occurrence, Cytoplasmic vacuolization (hepatocyte)	leads to	Formation, Mallory body
853	Occurrence, Ballooning degeneration (hepatocyte)	leads to	Induction, Microvesicular fat
854	Occurrence, Ballooning degeneration (hepatocyte)	leads to	Formation, Mallory body
855	Occurrence, Cytoplasmic vacuolization (Bile duct cell)	leads to	Induction, Microvesicular fat
856	Occurrence, Cytoplasmic vacuolization (Bile duct cell)	leads to	Formation, Mallory body
857	Occurrence, Cytoplasmic vacuolization (kupffer cell)	leads to	Induction, Microvesicular fat
858	Occurrence, Cytoplasmic vacuolization (kupffer cell)	leads to	Formation, Mallory body
859	Induction, Microvesicular fat	leads to	Formation, Liver fibrosis
860	Formation, Mallory body	leads to	Formation, Liver fibrosis
864	Oxidation, Uroporphyrinogen	leads to	Accumulation, Highly carboxylated porphyrins
865	Oxidation, Uroporphyrinogen	leads to	Inhibition, UROD
866	Accumulation, Highly carboxylated porphyrins	leads to	Uroporphyria
867	Inhibition, UROD	leads to	Oxidation, Uroporphyrinogen
868	Induction, CYP1A2/CYP1A5	leads to	Oxidation, Uroporphyrinogen
869	Activation, AhR	leads to	Induction, CYP1A2/CYP1A5
870	BDNF, Reduced	leads to	GABAergic interneurons, Decreased
871	GABAergic interneurons, Decreased	leads to	Synaptogenesis, Decreased 
872	Thyroidal Iodide, Decreased	leads to	TH synthesis, Decreased
874	Activation, Long term AHR receptor driven direct and indirect gene expression changes	leads to	Changes/Inhibition, Cellular Homeostasis and Apoptosis
875	Activation, Long term AHR receptor driven direct and indirect gene expression changes	leads to	Alterations, Cellular proliferation / hyperplasia
876	Activation, Long term AHR receptor driven direct and indirect gene expression changes	leads to	Formation, Hepatocellular and Bile duct tumors
877	Binding as antagonist, Antagonist binding to PPARalpha ligand binding domain	leads to	Decreased, PPARalpha transactivation of gene expression
878	Decreased, PPARalpha transactivation of gene expression	leads to	Decreased, Peroxisomal Fatty Acid Beta Oxidation of Fatty Acids
879	Decreased, PPARalpha transactivation of gene expression	leads to	Decreased, Mitochondrial Fatty Acid Beta Oxidation
880	Decreased, PPARalpha transactivation of gene expression	leads to	Decreased, Ketogenesis (production of ketone bodies)
881	Decreased, Peroxisomal Fatty Acid Beta Oxidation of Fatty Acids	leads to	Decreased, Mitochondrial Fatty Acid Beta Oxidation
882	Decreased, Mitochondrial Fatty Acid Beta Oxidation	leads to	Decreased, Ketogenesis (production of ketone bodies)
883	Decreased, Ketogenesis (production of ketone bodies)	leads to	Not Increased, Circulating Ketone Bodies
884	Not Increased, Circulating Ketone Bodies	leads to	Increased, Catabolism of Muscle Protein
885	Increased, Catabolism of Muscle Protein	leads to	Decreased, Body Weight
886	Decrease, Intracellular pH	leads to	Increase, Cytotoxicity
887	Increase, Cytotoxicity	leads to	Increase, Tissue Degeneration, Necrosis & Atrophy 
888	Increase, Tissue Degeneration, Necrosis & Atrophy 	leads to	Increase, Respiratory or Squamous Metaplasia
889	Increase, Respiratory or Squamous Metaplasia	leads to	Increase, Cell Proliferation
890	Increase, Cell Proliferation	leads to	Increased, Induced Mutations in Critical Genes
891	Increased, Induced Mutations in Critical Genes	leads to	Increase, Site of Contact Nasal Tumors
892	Increased, Intracellular Calcium overload	leads to	Decreased, Neuronal network function in adult brain
893	Increase, Cell Proliferation	leads to	Increase, Mutations in Critical Genes
894	Increase, Mutations in Critical Genes	leads to	Increase, Site of Contact Nasal Tumors
895	Increase, Cell Proliferation	leads to	Increase, Site of Contact Nasal Tumors
896	Activation, SHP	leads to	Inhibition, SREBP1c
899	Increase, Mutations	leads to	Increase, Cancer
901	Alkylation, DNA	leads to	Increase, Cancer
904	N/A, Mitochondrial dysfunction 1	leads to	Impaired, Proteostasis
905	Impaired, Proteostasis	leads to	Degeneration of dopaminergic neurons of the nigrostriatal pathway
906	N/A, Neuroinflammation	leads to	Degeneration of dopaminergic neurons of the nigrostriatal pathway
907	Degeneration of dopaminergic neurons of the nigrostriatal pathway	leads to	N/A, Neuroinflammation
908	N/A, Mitochondrial dysfunction 1	leads to	Degeneration of dopaminergic neurons of the nigrostriatal pathway
910	Degeneration of dopaminergic neurons of the nigrostriatal pathway	leads to	Parkinsonian motor deficits
911	Disruption, Lysosome	leads to	Increase, ROS production
912	Increase, ROS production	leads to	N/A, Mitochondrial dysfunction 1
916	Infiltration, Inflammatory cells	leads to	Inflammation, Liver
919	Binding of agonist, Ionotropic glutamate receptors	leads to	Overactivation, NMDARs
921	Disruption, Lysosome	leads to	Peptide Oxidation
922	Peptide Oxidation	leads to	N/A, Mitochondrial dysfunction 1
923	Peptide Oxidation	leads to	Release, Cytokine
924	N/A, Cell injury/death	leads to	Release, Cytokine
925	Release, Cytokine	leads to	Infiltration, Inflammatory cytokines
926	Infiltration, Inflammatory cytokines	leads to	Inflammation, Liver
927	Inhibition, Bile Salt Export Pump (ABCB11)	leads to	Bile accumulation, Pathological condition
928	Bile accumulation, Pathological condition	leads to	Release, Cytokine
929	Increase, Inflammation	leads to	Cholestasis, Pathology
930	Bile accumulation, Pathological condition	leads to	Production, Reactive oxygen species
931	Production, Reactive oxygen species	leads to	Cholestasis, Pathology
932	Peptide Oxidation	leads to	Cholestasis, Pathology
933	Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)	leads to	Inhibition, NADH-ubiquinone oxidoreductase (complex I)
934	Inhibition, NADH-ubiquinone oxidoreductase (complex I)	leads to	N/A, Mitochondrial dysfunction 1
936	Activation, Epidermal Growth Factor Receptor	leads to	Decrease, Apoptosis of ciliated epithelial cells
939	Activation, Epidermal Growth Factor Receptor	leads to	Increase, Proliferation of goblet cells
942	Activation, Epidermal Growth Factor Receptor	leads to	Occurrence, Transdifferentiation of ciliated epithelial cells
943	Occurrence, Transdifferentiation of ciliated epithelial cells	leads to	Occurrence, Metaplasia of goblet cells
944	Increase, Proliferation of goblet cells	leads to	Goblet cell hyperplasia
946	Activation, Epidermal Growth Factor Receptor	leads to	Activation, SP1
948	Peptide Oxidation	leads to	Oxidation, Glutathione
952	Decrease, GTPCH-1	leads to	Decrease, Tetrahydrobiopterin
953	Decrease, Tetrahydrobiopterin	leads to	Uncoupling, eNOS
954	Oxidation, Glutathione	leads to	S-Glutathionylation, eNOS
955	S-Glutathionylation, eNOS	leads to	Uncoupling, eNOS
956	Uncoupling, eNOS	leads to	Depletion, Nitric Oxide
958	Depletion, Nitric Oxide	leads to	impaired, Vasodilation
961	Decrease, Apoptosis of ciliated epithelial cells	leads to	Occurrence, Transdifferentiation of ciliated epithelial cells
962	Activation, EGFR	leads to	Decrease, Apoptosis of ciliated epithelial cells
964	Activation, EGFR	leads to	Activation, SP1
965	Activation, EGFR	leads to	Occurrence, Transdifferentiation of ciliated epithelial cells
970	Activation, EGFR	leads to	Increase, Proliferation of goblet cells
972	Activation, AhR	leads to	dimerization, AHR/ARNT
973	dimerization, AHR/ARNT	leads to	reduced dimerization, ARNT/HIF1-alpha
974	reduced dimerization, ARNT/HIF1-alpha	leads to	reduced production, VEGF
975	reduced production, VEGF	leads to	Impairment, Endothelial network
976	Impairment, Endothelial network	leads to	Altered, Cardiovascular development/function
977	Altered, Cardiovascular development/function	leads to	Increase, Pericardial edema
978	Increase, Pericardial edema	leads to	Increase, Embryolethality
980	Peptide Oxidation	leads to	Decrease, GTPCH-1
982	impaired, Vasodilation	leads to	Increase, Vascular Resistance
983	Increase, Vascular Resistance	leads to	Hypertension
984	Activation, AhR	leads to	Increase, Embryolethality
986	Activation, EGFR	leads to	Increase, Mucin production
987	Activation, SP1	leads to	Increase, Mucin production
988	Decrease, Akt/eNOS activity	leads to	Depletion, Nitric Oxide
989	Goblet cell hyperplasia	leads to	Hypersecretion, Mucus
990	Occurrence, Metaplasia of goblet cells	leads to	Hypersecretion, Mucus
991	Increase, Mucin production	leads to	Hypersecretion, Mucus
992	Peptide Oxidation	leads to	Decrease, Akt/eNOS activity
993	Disruption, Lysosome	leads to	N/A, Mitochondrial dysfunction 1
994	Release, Cytokine	leads to	Infiltration, Inflammatory cells
995	Changes/Inhibition, Cellular Homeostasis and Apoptosis	leads to	N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects
996	N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects	leads to	Alterations, Cellular proliferation / hyperplasia
997	Alterations, Cellular proliferation / hyperplasia	leads to	Formation, Hepatocellular and Bile duct tumors
998	Activation, EcR	leads to	Reduction, Release of circulating ETH
999	Activation, EcR	leads to	Decreased, synthesis and secretion of molting fluid proteases
1000	Reduction, Release of circulating ETH	leads to	Induction, Incomplete ecdysis
1001	Decreased, synthesis and secretion of molting fluid proteases	leads to	Induction, Incomplete ecdysis
1002	Induction, Incomplete ecdysis	leads to	Increase, Mortality
1003	Decline, Population	leads to	Increased, Alterations of food-web structures
1004	Increase, Mortality	leads to	Decreased, population 1
1005	Decreased, population 1	leads to	Increased, Alterations of food-web structures
1006	Decline, Population	leads to	Alterations, Food-web structures
1007	Activation, EcR	leads to	Decreased, Synthesis of molting fluid proteases
1008	Reduction, Release of circulating ETH	leads to	Reduction, Abdominal muscle contraction
1009	Decreased, Synthesis of molting fluid proteases	leads to	Decreased, Digestion of old cuticle
1010	Reduction, Abdominal muscle contraction	leads to	Induction, Incomplete ecdysis
1011	Decreased, Digestion of old cuticle	leads to	Induction, Incomplete ecdysis
1012	Decreased, Population size	leads to	Alterations, Food-web structures
1013	Increase, Mortality	leads to	Decreased, Population size
1015	Inhibition, Calcineurin Activity	leads to	Activation, Suppression of NFAT activation and hindrance of nuclear localization
1016	Activation, Suppression of NFAT activation and hindrance of nuclear localization	leads to	Interference, nuclear localization of NFAT
1017	Interference, nuclear localization of NFAT	leads to	Reduction, NFAT complex formation
1018	Reduction, NFAT complex formation	leads to	Suppression, Suppression in mixed lymphocyte reaction (MLR)
1019	Reduction, NFAT complex formation	leads to	Suppression, Suppression of T-cell dependent antibody response (TDAR) 
1020	Reduction, NFAT complex formation	leads to	Impairment, T-cell dependent antibody response
1021	Reduction, NFAT complex formation	leads to	Relief, Relief of atopic dermatitis
1022	Reduction, NFAT complex formation	leads to	Increase, Increased susceptibility to infection
1023	Binding of antagonist, PPAR alpha	leads to	stabilization, PPAR alpha co-repressor
1024	stabilization, PPAR alpha co-repressor	leads to	Decreased, PPARalpha transactivation of gene expression
1025	Abnormal, Morphogenesis	leads to	Increased, Developmental Defects
1026	Inhibition, Deiodinase 2	leads to	Decreased, Triiodothyronine (T3) in serum
1027	Decreased, Triiodothyronine (T3) in serum	leads to	Reduced, Posterior swim bladder inflation
1028	Reduced, Posterior swim bladder inflation	leads to	Reduced, Swimming performance
1029	Reduced, Swimming performance	leads to	Reduced, Young of year survival
1030	Reduced, Young of year survival	leads to	Decrease, Population trajectory
1031	Reduced, Posterior swim bladder inflation	leads to	Reduced, Anterior swim bladder inflation
1032	Reduced, Anterior swim bladder inflation	leads to	Reduced, Hearing
1033	Reduced, Hearing	leads to	Reduced, Young of year survival
1034	Reduced, Anterior swim bladder inflation	leads to	Reduced, Swimming performance
1035	Decreased, Triiodothyronine (T3) in serum	leads to	Reduced, Anterior swim bladder inflation
1036	Insufficiency, Vascular	leads to	Increased, Developmental Defects
1037	Inhibition, Deiodinase 1	leads to	Decreased, Triiodothyronine (T3) in serum
1039	T4 in serum, Decreased	leads to	Reduced, Anterior swim bladder inflation
1040	Thyroperoxidase, Inhibition	leads to	Reduced, Anterior swim bladder inflation
1041	Reduced, Posterior swim bladder inflation	leads to	Reduced, Young of year survival
1042	Inhibition, Deiodinase 2	leads to	Reduced, Posterior swim bladder inflation
1043	Inhibition, Deiodinase 2	leads to	Reduced, Anterior swim bladder inflation
1044	Inhibition, Deiodinase 1	leads to	Reduced, Posterior swim bladder inflation
1045	Inhibition, Deiodinase 1	leads to	Reduced, Anterior swim bladder inflation
1047	Increased, Chloride influx	leads to	Increased, Inhibitory postsynaptic potential
1048	Increased, Inhibitory postsynaptic potential	leads to	Inhibition, Motor neuron activity
